model,folds,mae,rmse,wape_pct,bias,mean_fold_mae,std_fold_mae,lift_vs_seasonal_naive_pct
weekday_mean,6,64.65469287277537,92.59993734996301,20.648776825048635,-12.958757199374702,64.65469287277536,24.076634470088283,37.851487332868494
ridge_calendar_trend,6,67.27844881755517,94.60818044732916,21.486726068017905,-0.4480530991125287,67.27844881755517,28.828477591178174,35.329434836378
naive_last_value,6,88.84253333333332,117.08049665280151,28.37365026204318,-27.65533333333334,88.84253333333334,29.279930790264284,14.60122903821466
seasonal_naive_5,6,104.03256666666668,138.1721100363601,33.22489298439664,-1.5524999999999987,104.03256666666668,44.20223208652099,0.0
